OBJECTID,YEAR_,ALARM_DATE,CONT_DATE,CAUSE,REPORT_AC,GIS_ACRES,FIRE_NUM
"30557","1951",,,"9",,22.849981307983398,"00000103"
"30559","1951",,,"9",,1499.113891601562727,"00000063"
"30573","1951",1951/08/20,,"1",,11.949784278869627,"00400391"
"30575","1952",1952/07/18,,"14",,1117.061401367187500,"00000045"
"30577","1952",1952/08/18,,"14",,579.848693847656136,"00000073"
"30578","1954",1954/09/10,,"14",,229.820892333984375,"00000247"
"30579","1954",1954/07/25,,"14",,2129.215087890625000,0000011C
"30580","1954",1954/08/09,,"14",,1142.890502929687500,"00000106"
"30581","1954",1954/09/26,,"14",,2186.898437500000000,"00000078"
"30582","1954",1954/10/26,,"14",,1032.006591796875000,"00000006"
"30583","1975",1975/06/25,,"14",,3.742666006088257,"00000000"
"30586","1975",1975/07/21,,"14",,2.430683135986328,"00000000"
"30588","1975",1975/11/27,,"14",,3.067468643188477,"00000000"
"30589","1975",1975/10/15,,"14",,4.367075443267823,"00000000"
"30590","1975",1975/07/02,,"14",,19.668642044067383,"00000000"
"30591","1975",1975/12/08,,"14",,41.610530853271491,"00000000"
"30592","1954",1954/02/06,,"14",,1047.922851562500000,"00000006"
"30593","1954",1954/07/01,,"14",,30.183870315551754,"00000000"
"30594","1957",1957/07/06,,"14",,2570.751464843750000,"00000027"
"30595","1957",1957/09/21,,"14",,4280.183105468750000,"00000022"
"30596","1957",1957/06/20,,"14",,472.331817626953125,"00000019"
"30597","1957",1957/06/24,,"14",,2304.410156250000000,"00000006"
"30598","1957",1957/07/11,,"14",,328.072387695312500,"00000035"
"30599","1970",1970/05/14,1970/05/17,"2",435.000000000000000,326.591674804687500,"00000001"
"30600","1970",1970/08/13,1970/08/14,"2",265.000000000000000,253.290344238281250,"00000053"
"30603","1996",1996/08/12,1996/08/14,"1",30.000000000000000,41.826786041259766,"00000036"
"30604","1996",1996/10/02,1996/10/02,"5",,40.709415435791016,
"30605","1996",1996/02/15,1996/02/15,"5",,51.038982391357422,"00000027"
"30606","1952",,,"14",,8644.680664062500000,"00000111"
"30607","1952",,,"14",,1369.491088867187500,"00000036"
"30608","1952",,,"14",,1287.623779296875000,"00000073"
"30609","1952",1952/08/30,,"14",,3450.071777343750000,"00000339"
"30610","1952",1952/10/23,,"14",,456.220947265625000,"00000000"
"30611","1952",1952/09/14,,"14",,218.983062744140653,"00000217"
"30612","1952",1952/10/04,,"14",,128.478988647460938,"00000278"
"30613","1952",1952/09/24,,"14",,2072.139160156250000,"00000252"
"30619","1953",1953/10/31,,"14",,11775.191406250000000,"00000000"
"30620","1953",1953/05/13,,"14",,638.207275390625000,"00000800"
"30622","1953",1953/10/02,,"14",,680.649597167968750,"00000140"
"30623","1953",1953/10/06,,"14",,4464.220214843750000,"00000086"
"30624","1953",1953/07/11,,"14",,740.830993652343864,"00000068"
"30625","1953",1953/07/10,,"14",,21023.728515625000000,"00000064"
"30626","1953",1953/07/07,,"14",,899.283447265625000,"00000062"
"30627","1953",1953/07/08,,"14",,2843.240478515625000,"00000063"
"30628","1953",1953/06/29,,"14",,919.742187500000000,"00000579"
"30629","1953",1953/07/07,,"14",,1324.451660156250000,"00000666"
"30647","1953",1953/09/21,,"14",,433.628967285156250,"00000259"
"30648","1953",1953/10/02,,"14",,443.604583740234375,"00000142"
"30649","1953",1953/07/20,,"14",,493.454803466796875,"00000028"
"30650","1953",,,"1",,1174.931274414062500,"00000001"
"30651","1953",,,"14",,900.545410156250000,"00000003"
"30652","1953",,,"1",,44.009296417236328,"00000006"
"30653","1953",,,"9",,146.706115722656250,"00000007"
"30654","1953",,,"1",,170.846939086914034,"00000008"
"30655","1953",1953/09/14,,"14",,440.412109375000000,"00000004"
"30656","1953",1953/07/14,,"14",,300.277252197265625,"00000419"
"30657","1953",1953/12/27,,"14",,14061.259765625000000,"00000422"
"30658","1953",1953/12/19,,"14",,7.724811077117920,"00000000"
"30659","1953",1953/04/09,,"14",,6.858065605163574,"00000000"
"30662","1953",1953/10/08,,"14",,586.767211914062500,"00000000"
"30666","1953",1953/09/07,,"14",,16.403429031372070,"00000000"
"30667","1953",1953/06/21,,"14",,32.166118621826172,"00000000"
"30668","1953",1953/09/13,,"14",,208.378585815429688,"00000000"
"30669","1953",1953/06/25,,"14",,2.822933912277222,"00000000"
"30670","1953",1953/10/06,,"14",,75.445556640624986,"00000000"
"30671","1953",1953/07/18,,"14",,277.112030029296875,"00000000"
"30672","1953",1953/09/10,,"14",,8.204307556152344,"00000000"
"30673","1953",1953/08/11,,"9",,236.459243774414034,"00000882"
"30674","1953",,,"9",,1546.682373046874773,"00000054"
"30675","1953",,,"9",,918.114013671875000,"00000057"
"30684","1953",,,"14",,1785.541259765625000,"00000000"
"30685","1953",,,"14",,281.172912597656250,"00000428"
